Time (empty),Time 1,"Time 1,2a","Time 1,2b"
44.67,22.08,30.7,38.42
21.74,15.75,14.34,18.96
40.43,26.55,46.37,20.51
42.82,31.51,27.59,28.57
30.25,14.75,12.16,8.59
19,8.82,18.35,11.53
21.08,6.42,19.2,20.88
25.63,9.84,15.64,8.79
29.94,12.9,15.78,10.54
30.22,10.34,37.3,7.5
18.2,7.52,14.38,5.7
19.65,3.59,11.33,7.42
19.57,5.57,26.26,5.39
32.73,7.06,16.01,6.24
28.64,9.43,13.14,9.37
18.81,17.31,59.33,11.27
18.67,17.8,57.85,11.11
31.1,9.55,22.99,8.17
21.93,10.35,40.15,14.79
27.77,9.9,42.13,11.22
17.25,13.36,45.23,13.26
17.52,13.36,47.58,13.28
9.46,4.25,24.12,4.35
11.31,17.17,17.43,10.71
14.5,6.92,32.88,7.85
69.47,37.84,85.07,43.01
68.69,44.83,108.79,42.81
106.36,54.61,116.38,58.02
106.92,46.83,103.24,60.42
96.28,28.86,34.62,34.67
53.88,30.92,39.87,29.5
50.75,22.5,42.28,20.18
78.63,34.27,73.89,38.84
60.83,18.21,50.7,27.11
65.72,23.88,34.91,22.78
90.1,38.88,45.15,28.65
72.82,48.23,76.5,20.8
81.47,19.48,57.03,25.18
132.27,64.13,121.93,46.5
45.77,21.27,28.06,15.36
77.24,61.71,96.11,54
79.73,20.17,30.64,20.93
55.18,25.79,77.06,21.89
58.84,18.52,26.42,17.29
55.99,18.6,27.94,22.84
31.14,18.2,42.98,12.62
37.82,26.1,42.99,12.25
42.54,18.35,20.4,13.33
33.6,25.73,11.53,8.7
50.38,16.77,12.23,7.54
45.94,46.6,73.17,39.85
68.7,39.8,51.5,41.28
85.61,65.59,119.92,49.39
78.68,60.24,121.07,43.64
107.94,40.41,61.77,34.35
122.12,251.63,369.54,177.16
72.12,36.4,23.89,26.52
46.63,18.84,19.71,25.32
70.49,33.11,70.74,23.94
109.24,36.86,50.77,26.85
80.53,20.16,46.6,16.47
57.26,30.65,60.69,19.63
80.22,36.2,53.88,18.45
70.78,33.6,24.39,24.42
49.46,20.88,10.09,13.39
107.74,37.93,57.53,22.49
41.31,30.41,54.81,17.14
47.16,8.26,11.87,6.21
36.66,12.39,20.14,8.78
41.16,9.05,23.22,10.69
62.61,44.31,35.64,18.58
60.88,65.07,68.04,14.19
30.91,22.14,79.53,27.39
17.8,11.72,32.06,10.19
31.44,23.85,40.94,19.38
126.32,84.49,117.81,93.98
138.36,83.09,140.97,77.93
138.9,106.27,125.78,114.38
171.12,79.83,114.91,93.52
101.83,91.89,73.1,87.84
104.71,44.85,74.33,59.45
67,43.78,36.42,42.51
95.96,46.17,51.37,37.22
88.35,37.86,62.95,53.83
103.62,53.27,92.55,44.37
118.8,41.82,54.85,35.83
129.39,46.45,46.78,56.71
53.77,19.77,45.02,19.45
57.55,25.38,33.78,21.72
70.86,20.77,31.47,20.19
132.81,30.16,39.94,49.03
112.29,45.95,41.47,27.95
100.19,22.6,53.43,31.08
79.18,26.03,21.3,18.81
76.33,25.62,25.81,19.75
70.98,36.77,27.4,28.73
89.43,27.68,29.6,18.17
76.79,22.59,61.32,29.28
75.11,37.11,33.77,21.07
95.74,30.97,24.43,30.49
48.6,25.89,40.83,23.03
52.35,27.4,58.25,27.28
107.39,18.24,44.01,29.92
88.39,31.39,35.18,25.14
50.05,59.23,36.7,29.68
84.65,36.11,65.59,21.33
48.68,39.53,143.91,52.62
91.99,51.02,56.24,22.23
103.27,46.6,42.44,34.31
105.19,23.73,47.04,29.48
41.82,24.58,24.2,19.12
158.57,169.43,199.95,151.88
29.7,11.47,18.48,8.17
33.27,20.07,5.65,17.24
46.68,5.94,21,27.81
83.18,44.95,54.82,34.49
82.94,47.15,53.25,32.27
603.52,513.16,852.52,532.4
34.62,20.18,27.71,15.15
45.12,12.34,38.74,20.57
88.03,82.83,27.36,23.98
85.41,82.18,28.51,24.73
351.96,426.39,908.67,461.82
49.88,32.34,74.3,30.62
35.41,29.66,43.99,13.77
137.23,111.64,116.18,96.59
125.73,95.48,109.01,101.76
181.16,103.91,171.81,105.94
177.17,122.83,112,103.55
224.76,114.02,109.1,93.29
191.89,82.87,79.06,81.41
175.54,65.43,58.48,65.18
340.01,295.44,392.99,346.17
116.25,50.37,83.45,60.94
224.52,80.36,82.35,43.28
142.65,198.44,188.01,121.94
173.21,127.61,163.56,123.71
163.18,48.33,62.37,47.3
102.88,36.74,38.25,36.08
111.96,27.42,45.05,35.51
98.16,47.07,56.75,57.83
68.14,78.05,66.51,46.26
120.68,30.78,47.85,28.73
76,26.05,21.82,23.36
112.08,27.61,32.27,26.19
154.13,33.84,154.77,67.61
78.77,29.75,37.89,35.08
86.19,41.3,49.62,33.1
73.06,48.85,48.22,22.89
73.97,19.23,22.33,28.43
192.99,135.82,140.65,116.02
225.86,139.05,169.01,132.52
206.23,135.81,104.76,90.65
214.14,105.23,104,96.32
327.48,113.46,96.29,108.53
180.22,90.79,150.22,109.61
175.99,53.87,172.56,90.38
143.74,72.12,59.21,58.49
145.01,78.77,83.67,66.51
177.95,100.41,90.93,67.64
81.63,28.36,52.17,59.58
106.19,37.74,51.82,38.38
127.23,41.99,61.81,71.59
101.86,47.25,46.53,33.54
172.95,48.9,40.53,35.34
110.82,158.43,86.99,41.61
101.99,88.83,41.85,53.65
103.64,93.48,107.82,40.72
86.78,32.13,31.04,31.15
108.98,38.76,56.87,38.71
129.19,56.58,119.58,52.56
102.38,55.87,50.67,60.24
115.7,48.73,60.03,58.36
133.22,33.49,51.63,46.99
156.28,41.5,34.7,35.87
119.22,66.72,103.21,60.03
116.78,77.02,49.14,60.37
146.57,71.91,73.45,86.38
162.42,88.05,78.13,106.81
141.99,62.37,69.39,68.01
764.67,152.96,304.73,65.31
151.19,65.46,56.51,71.99
85.35,31.23,55.44,56.5
77.99,34.03,45.21,36.04
209.66,54.88,50.18,56.61
227.3,53.65,39.5,32.1
232.05,52.67,39.39,35.25
99.02,40.92,48.03,43.62
59.17,58.85,84.77,50.62
145.7,30.96,41.57,31.06
397.24,211.33,315.6,216.8
467.64,282.55,293.78,273.75
200.79,75.82,161.49,109.65
109.36,26.29,29.49,36.52
113.9,30,50.49,36.59
133.55,108.95,118.1,92.84
121.74,37.95,76.26,42.55
86.05,37.52,56.64,33.47
77.84,44.06,23.77,19.53
76.74,32.35,27.27,20.27
220.16,127.34,118.31,137.59
181.15,96.3,116.64,116.87
216.1,126.39,158.17,127.58
227.87,100.39,120.98,114.73
155.51,109.28,132.34,125.78
123.32,51,48.5,125.34
116.18,45.88,94.81,90.81
158.98,54.91,64.55,62.41
173.98,57.46,74.68,79.52
275.77,71.14,94.1,78.09
122.11,34.07,42.73,44.47
119.8,140.91,177.33,226.89
125.19,56.28,45.59,77.62
111.62,28.17,29.87,41.62
139.67,37.31,44.59,48.51
190.68,52.66,57.03,88.95
151.89,41.86,47.48,77.82
137.33,37.17,76.81,94.96
205.45,36.82,68.38,47.19
124.77,37.95,37.18,33.95
127.1,69.61,60.79,108.88
121.52,47.67,59.43,124.46
103.72,77.13,52.05,69.29
111.94,38.99,51.35,38.04
111.11,49.57,60.74,37.74
488.32,354.3,591.35,561.97
478.56,291.62,448.83,447.08
536.66,343.31,388.68,520.55
595.54,331.96,508.35,413.67
933.97,239.16,377.04,280.88
481.91,237.41,265.79,233.78
379.44,199.5,241.86,194.96
517.17,236.31,241.5,240.3
554.75,221.23,244.63,242.61
777.91,274.21,222.5,228.33
967.2,240.64,593.74,575.32
514.63,504.11,834.7,832.01
536.28,200.53,220.24,207.28
441,204.11,192.43,196.54
434.94,135.81,106.85,132.63
423.1,161.24,185.85,209.49
306.11,154.24,178.95,133.83
262.71,85.37,88.89,123.22
261.21,104.64,84.02,71.24
385.59,109.88,120.33,116.6
17853.3,1972.13,1462.14,662.43
2851.82,1037.83,579.81,503.43
1342.53,427.35,494.22,356.56
285.12,108.76,109.98,155.85
285.15,70.27,71.43,86.75
4377.5,1812.95,1763.06,2702.33
4522.55,1882.35,1783.45,2116.97
6492.11,1953.69,1963.77,1948.03
8131.02,2130.15,1845.19,1819.29
18406.81,4178.33,2280.29,4189.87
1385.85,542.16,678.33,558.27
1285.02,504.93,650.02,607.08
1876.9,609.79,696.46,553.04
2408.73,687.71,642.74,665.22
3492.99,701.39,659.46,757.35
1701.11,696.96,644.33,866.79
1564.97,614.42,831.65,1017.42
4243.9,2910.63,2342.31,4505.34
1810.37,531.53,575.29,511.74
3503.29,701.48,624.36,745.93
842.05,294.7,363.61,331.54
734.61,326.82,247.68,328.29
844.11,329.81,344.77,328.4
763.18,242.52,288.28,261.71
1784.41,236.13,311.8,312.71
3429.16,1251.55,1536.93,1143.4
580.48,230.24,221.73,161.86
650.41,220.93,190.29,225.94
645.71,226.85,246.45,220.9
1126.37,227.61,241.03,209.38
21768.81,7125.46,6920.84,7814.54
17499.02,6628.06,6542.27,7561.76
11209.48,4105.41,3523.34,5901.69
7234.34,4100.02,4213.17,4655.66
44897.29,4856,5001.76,6137.34
17037.42,5541.36,4895.58,5215.02
6111.6,2051.56,2298.01,2903.28
5386.54,2513.98,2244.82,2550.23
